"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310","","","","",""
"Panificados","17.723","13.977","16.067","17.918","19.529","22.265","25.369","","","","",""
"   Pães","12.624","10.150","11.457","12.799","14.158","15.846","16.623","","","","",""
"      Pão caseiro","0.226","0.163","0.227","0.258","0.250","0.243","0.198","","","","",""
"      Pão de forma de padaria","0.099","0.057","0.068","0.120","0.099","0.174","0.154","","","","",""
"      Pão de forma industrializado","0.702","0.244","0.429","0.635","1.030","1.504","1.786","","","","",""
"      Pão de milho","0.060","0.035","0.042","0.059","0.079","0.090","0.131","","","","",""
"      Pão de queijo","0.241","0.073","0.132","0.240","0.370","0.516","0.549","","","","",""
"      Pão doce","0.746","0.353","0.539","0.717","0.935","1.406","1.710","","","","",""
"      Pão francês","9.491","8.600","9.342","9.927","10.140","9.665","9.070","","","","",""
"      Pão integral","0.361","0.087","0.197","0.293","0.503","0.947","1.165","","","","",""
"      Torrada","0.100","0.046","0.055","0.093","0.125","0.180","0.307","","","","",""
"      Outros","0.598","0.493","0.426","0.456","0.627","1.121","1.553","","","","",""
"   Bolos","0.918","0.398","0.714","0.874","0.976","1.749","2.520","","","","",""
"   Biscoitos, roscas, etc.","4.180","3.429","3.896","4.245","4.395","4.670","6.226","","","","",""
"      Biscoito doce","1.941","1.424","1.718","2.041","2.149","2.159","3.133","","","","",""
"      Biscoito não especificado","0.143","0.081","0.105","0.118","0.179","0.249","0.387","","","","",""
"      Biscoito salgado","1.797","1.735","1.792","1.745","1.752","1.880","2.302","","","","",""
"      Rosca doce","0.195","0.096","0.185","0.238","0.218","0.211","0.276","","","","",""
"      Rosca não especificada","0.071","0.075","0.077","0.073","0.055","0.072","0.077","","","","",""
"      Rosca salgada","0.011","0.014","0.008","0.010","0.012","0.018","0.012","","","","",""
"      Outros","0.022","0.005","0.011","0.021","0.030","0.081","0.038","","","","",""
"Carnes","20.762","15.534","19.108","21.185","24.051","25.469","28.695","","","","",""
"   Carnes bovinas de primeira","4.776","2.253","3.288","4.677","6.287","7.971","11.300","","","","",""
"      Alcatra","0.599","0.180","0.331","0.626","0.749","1.434","1.444","","","","",""
"      Carne moída","0.336","0.141","0.215","0.326","0.478","0.651","0.741","","","","",""
"      Carne não especificada","1.605","1.221","1.459","1.612","1.816","2.050","2.350","","","","",""
"      Chã de dentro","0.608","0.184","0.374","0.673","0.865","1.257","1.132","","","","",""
"      Contrafilé","0.886","0.275","0.548","0.781","1.305","1.266","3.081","","","","",""
"      Filé-mignon","0.118","0.017","0.056","0.048","0.128","0.280","0.803","","","","",""
"      Lagarto comum","0.225","0.100","0.124","0.245","0.357","0.307","0.443","","","","",""
"      Lagarto redondo","0.032","0.014","0.007","0.035","0.050","0.029","0.103","","","","",""
"      Patinho","0.367","0.119","0.174","0.331","0.539","0.697","1.205","","","","",""
"   Carnes bovinas de segunda","4.880","4.139","4.955","5.164","5.188","5.470","4.466","","","","",""
"      Acém","0.684","0.437","0.546","0.813","0.823","0.705","0.922","","","","",""
"      Capa de filé","0.155","0.062","0.060","0.171","0.278","0.212","0.317","","","","",""
"      Carne moída","0.530","0.436","0.564","0.588","0.624","0.360","0.423","","","","",""
"      Carne não especificada","1.183","1.586","1.518","1.090","0.862","0.828","0.438","","","","",""
"      Costela","1.150","0.899","1.248","1.210","1.185","1.592","0.916","","","","",""
"      Músculo","0.406","0.241","0.373","0.359","0.550","0.668","0.706","","","","",""
"      Pá","0.355","0.190","0.283","0.413","0.412","0.642","0.400","","","","",""
"      Peito","0.201","0.133","0.159","0.267","0.175","0.264","0.223","","","","",""
"      Outras","0.215","0.155","0.203","0.254","0.279","0.200","0.121","","","","",""
"   Carnes bovinas outras","3.696","3.605","3.990","3.606","3.874","3.145","3.788","","","","",""
"      Carne de hambúrguer","0.163","0.081","0.138","0.180","0.215","0.179","0.284","","","","",""
"      Carne de sol","0.199","0.232","0.181","0.177","0.217","0.147","0.256","","","","",""
"      Carne moída não especificada","0.440","0.374","0.460","0.471","0.468","0.254","0.573","","","","",""
"      Carne não especificada","1.660","1.715","1.837","1.521","1.775","1.536","1.533","","","","",""
"      Carne-seca","0.373","0.429","0.442","0.390","0.239","0.291","0.304","","","","",""
"      Mocotó","0.060","0.044","0.098","0.041","0.070","0.042","0.103","","","","",""
"      Outras","0.802","0.730","0.833","0.826","0.891","0.696","0.734","","","","",""
"   Carnes suínas com osso e sem osso","2.429","1.753","2.371","2.609","2.761","2.842","2.801","","","","",""
"      Carré","0.522","0.393","0.463","0.579","0.593","0.554","0.645","","","","",""
"      Costela","0.358","0.153","0.239","0.359","0.571","0.499","0.742","","","","",""
"      Lombo","0.146","0.037","0.098","0.157","0.209","0.218","0.372","","","","",""
"      Pernil","0.369","0.202","0.268","0.428","0.469","0.611","0.440","","","","",""
"      Porco eviscerado","0.106","0.053","0.081","0.155","0.076","0.214","0.074","","","","",""
"      Outras","0.928","0.916","1.222","0.930","0.843","0.747","0.529","","","","",""
"   Carnes suínas outras","2.451","1.856","2.198","2.466","2.898","3.123","3.384","","","","",""
"      Carne salgada não especificada","0.049","0.027","0.075","0.036","0.074","0.035","0.067","","","","",""
"      Costela de porco salgada","0.002","0.001","0.006","0.002","-","-","0.001","","","","",""
"      Mortadela","0.581","0.601","0.602","0.579","0.574","0.572","0.485","","","","",""
"      Paio","0.009","0.001","0.003","0.003","0.029","0.016","0.021","","","","",""
"      Pé de porco salgado","0.021","0.005","0.007","0.028","0.039","0.023","0.028","","","","",""
"      Presunto","0.463","0.153","0.300","0.475","0.722","0.801","0.977","","","","",""
"      Salame","0.112","0.055","0.064","0.100","0.162","0.224","0.277","","","","",""
"      Salsicha comum","0.811","0.769","0.822","0.828","0.818","0.798","0.835","","","","",""
"      Toucinho fresco","0.103","0.059","0.087","0.127","0.119","0.055","0.185","","","","",""
"      Toucinho defumado","0.156","0.050","0.100","0.161","0.215","0.351","0.313","","","","",""
