"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
      Flocos de outros cereais,"0,189","0,230","0,200","0,118","0,172","0,130","0,391"
      Fubá de milho,"0,867","0,922","0,878","0,841","0,815","0,321","1,121"
      Outras,-,-,-,-,-,-,-
   Massas,"2,639","2,289","2,422","2,733","3,596","3,691","3,351"
      Macarrão com ovos,"0,313","0,210","0,348","0,301","0,497","0,828","0,274"
      Macarrão não especificado,"1,107","1,175","1,070","1,103","0,945","0,774","1,466"
      Macarrão sem ovos,"0,969","0,838","0,851","1,064","1,429","0,874","1,148"
      Massa de lasanha,"0,057","0,017","0,038","0,102","0,067","0,059","0,229"
      Massa de pastel,"0,049","0,001","0,008","0,046","0,350","0,042",-
      Massa de pizza,"0,094","0,015","0,072","0,076","0,131","1,093","0,150"
      Outras,"0,051","0,034","0,035","0,041","0,178","0,022","0,084"
Panificados,"14,371","11,928","13,973","15,572","17,696","20,097","19,236"
   Pães,"11,196","9,390","11,025","12,119","13,898","16,768","11,282"
      Pão caseiro,"0,628","0,555","0,796","0,676","0,521","0,711","0,152"
      Pão de forma de padaria,"0,095","0,078","0,067","0,078","0,237","0,114","0,179"
      Pão de forma industrializado,"0,112","0,029","0,010","0,058","0,056","2,156","0,279"
      Pão de milho,"0,009","0,011","0,005","0,008","0,013",-,"0,040"
      Pão de queijo,"0,168","0,098","0,077","0,289","0,174","0,381","0,300"
      Pão doce,"0,240","0,115","0,170","0,254","0,402","0,462","1,396"
      Pão francês,"9,274","8,027","9,301","10,206","11,195","11,536","7,124"
      Pão integral,"0,114","0,031","0,090","0,075","0,271","0,598","0,638"
      Torrada,"0,127","0,128","0,143","0,108","0,162","0,109","0,100"
      Outros,"0,428","0,318","0,366","0,366","0,868","0,701","1,075"
   Bolos,"0,395","0,198","0,173","0,517","0,651","1,122","1,665"
"   Biscoitos, roscas, etc.","2,779","2,340","2,775","2,936","3,148","2,206","6,289"
      Biscoito doce,"0,932","0,620","0,730","0,974","1,181","0,901","5,108"
      Biscoito não especificado,"0,071","0,054","0,071","0,078","0,078","0,063","0,214"
      Biscoito salgado,"1,586","1,487","1,731","1,673","1,736","1,214","0,912"
      Rosca doce,"0,088","0,064","0,140","0,094","0,095","0,012","0,034"
      Rosca não especificada,"0,072","0,075","0,082","0,083","0,049",-,"0,021"
      Rosca salgada,"0,025","0,038","0,014","0,029",-,"0,012",-
      Outros,"0,004","0,001","0,008","0,005","0,009","0,004",-
Carnes,"21,511","18,082","21,960","22,187","28,850","26,574","25,161"
   Carnes bovinas de primeira,"4,438","2,238","3,955","4,520","9,391","10,095","12,059"
      Alcatra,"0,343","0,068","0,188","0,384","0,594","2,236","1,556"
      Carne moída,"0,346","0,249","0,284","0,346","0,585","0,705","0,826"
      Carne não especificada,"2,204","1,258","2,188","2,209","4,005","3,852","6,386"
      Chã de dentro,"0,314","0,096","0,332","0,377","0,553","0,922","0,858"
      Contrafilé,"0,830","0,398","0,773","0,892","2,227","1,377","0,835"
      Filé-mignon,"0,078","0,046","0,021","0,050","0,289",-,"0,555"
      Lagarto comum,"0,107","0,034","0,030","0,133","0,214","0,332","0,730"
      Lagarto redondo,"0,077","0,019","0,016","0,062","0,442","0,203","0,032"
      Patinho,"0,139","0,070","0,124","0,067","0,482","0,468","0,280"
   Carnes bovinas de segunda,"5,352","4,800","6,336","5,369","5,516","5,796","4,123"
      Acém,"0,396","0,401","0,479","0,369","0,174","0,531","0,596"
      Capa de filé,"0,156","0,020","0,176","0,188","0,424","0,051","0,652"
      Carne moída,"0,775","0,697","1,087","0,537","0,905","1,227","0,848"
      Carne não especificada,"1,916","2,208","2,221","1,648","1,582","1,263","0,432"
      Costela,"0,891","0,699","1,246","1,042","0,749","0,367","0,409"
      Músculo,"0,311","0,238","0,342","0,176","0,418","1,580","0,482"
      Pá,"0,315","0,204","0,279","0,367","0,432","0,714","0,646"
      Peito,"0,203","0,152","0,189","0,330","0,173","0,013","0,060"
      Outras,"0,390","0,180","0,316","0,713","0,659","0,049",-
   Carnes bovinas outras,"6,662","5,753","6,612","7,595","8,508","5,443","4,954"
      Carne de hambúrguer,"0,042","0,019","0,015","0,073","0,040","0,196","0,073"
      Carne de sol,"0,121","0,106","0,084","0,184","0,135",-,"0,055"
      Carne moída não especificada,"0,629","0,615","0,515","0,787","0,358","0,519","1,144"
      Carne não especificada,"2,721","2,210","2,448","3,234","4,614","1,515","1,380"
      Carne-seca,"0,897","0,764","0,987","1,135","0,788","0,674","0,318"
      Mocotó,"0,081","0,096","0,092","0,054","0,062","0,210",-
      Outras,"2,171","1,944","2,471","2,129","2,510","2,330","1,984"
   Carnes suínas com osso e sem osso,"1,103","0,772","1,180","1,364","1,284","1,646","1,058"
      Carré,"0,157","0,100","0,075","0,268","0,223","0,051","0,327"
      Costela,"0,092","0,037","0,091","0,135","0,053","0,497","0,041"
      Lombo,"0,004","0,003",-,"0,002",-,"0,070",-
      Pernil,"0,033","0,016","0,012","0,038","0,126","0,084",-
      Porco eviscerado,"0,142","0,013","0,335","0,165","0,206","0,059","0,048"
      Outras,"0,675","0,603","0,667","0,756","0,675","0,885","0,642"
   Carnes suínas outras,"1,590","1,868","1,512","1,364","1,439","1,590","1,269"
      Carne salgada não especificada,"0,051","0,035","0,040","0,108",-,-,"0,029"
      Costela de porco salgada,-,-,-,-,-,-,-
      Mortadela,"0,584","0,811","0,531","0,455","0,494","0,150","0,108"
      Paio,"0,001",-,-,-,"0,007",-,-
      Pé de porco salgado,"0,002",-,-,"0,006",-,-,-
      Presunto,"0,141","0,058","0,096","0,171","0,259","0,468","0,447"
      Salame,"0,020","0,019",-,"0,038","0,019","0,005","0,043"
      Salsicha comum,"0,565","0,770","0,535","0,417","0,339","0,643","0,233"
      Toucinho fresco,"0,024","0,017","0,039","0,014","0,061",-,-
      Toucinho defumado,"0,054","0,046","0,033","0,057","0,034","0,160","0,206"
      Outras,"0,148","0,111","0,237","0,097","0,225","0,164","0,204"
   Carnes de outros animais,"2,365","2,650","2,365","1,975","2,712","2,005","1,698"
      Carne de cabrito,"0,011","0,026",-,-,-,"0,020","0,023"
      Carne de carneiro,"0,009",-,-,"0,032",-,-,-
      Linguiça,"1,387","1,507","1,248","1,207","1,595","1,622","1,620"
      Outras,"0,958","1,118","1,117","0,737","1,116","0,363","0,055"
Vísceras,"0,751","0,623","0,529","1,067","0,981","0,571","0,429"
   Vísceras bovinas,"0,730","0,611","0,529","1,055","0,830","0,571","0,429"
      Bucho,"0,144","0,165","0,116","0,171","0,105","0,099",-
      Fígado,"0,418","0,342","0,185","0,733","0,351","0,285","0,429"
      Língua,"0,025","0,012","0,033","0,022","0,084",-,-
      Outras,"0,143","0,092","0,195","0,129","0,290","0,187",-
   Vísceras suínas,"0,021","0,011",-,"0,012","0,147",-,-
   Outras vísceras,"0,000",-,-,-,"0,004",-,-
Pescados,"9,855","9,390","12,275","8,565","10,835","10,692","6,449"
   Pescados de água salgada,"2,664","2,296","3,178","2,553","3,315","3,259","1,871"
      Anchova fresca,"0,009",-,"0,024","0,014",-,-,-
      Bacalhau,"0,022",-,"0,011","0,008",-,-,"0,595"
      Bagre fresco,"0,076","0,044","0,207","0,053","0,008","0,043","0,040"
      Cação fresco,"0,011","0,015",-,"0,013","0,018",-,-
      Camarão fresco,"0,509","0,345","0,735","0,534","0,527","0,559","0,613"
      Corvina fresca,"0,062","0,047","0,038","0,072","0,183",-,-
      Merluza em filé congelado,-,-,-,-,-,-,-
      Merluza em filé fresco,-,-,-,-,-,-,-
      Parati fresco,"0,014","0,013","0,020","0,019",-,-,-
      Pescada em filé congelado,"0,007",-,"0,018","0,014",-,-,-
      Pescada em filé fresco,"0,014",-,"0,029","0,029",-,-,-
      Pescada fresca,"0,530","0,492","0,603","0,506","0,414","1,387","0,124"
      Pescadinha fresca,"0,056","0,009","0,077","0,020","0,325",-,-
      Sardinha em conserva,"0,125","0,097","0,117","0,133","0,235","0,081","0,140"
      Sardinha fresca,"0,113","0,140","0,074","0,129","0,093",-,"0,104"
      Tainha fresca,"0,111","0,168","0,058","0,011","0,360",-,-
      Outros pescados em filé congelado,"0,014","0,006",-,"0,032","0,031",-,-
      Outros pescados em filé fresco,"0,103","0,014","0,207","0,071","0,001","0,910","0,221"
      Outros pescados frescos,"0,806","0,825","0,836","0,795","1,120","0,260","0,035"
      Outros pescados salgados,"0,083","0,081","0,124","0,100",-,"0,018",-
   Pescados de água doce,"5,450","5,365","7,340","4,188","5,879","5,174","3,836"
      Acará fresca,"0,036","0,023","0,096","0,030",-,-,-
      Acari fresco,"0,151","0,152","0,352","0,077","0,017",-,-
