"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
      Outros,"0,012","0,000","0,017","0,005","0,000","0,073","0,016"
Carnes,"24,503","18,003","21,624","23,731","24,322","29,991","36,429"
   Carnes bovinas de primeira,"7,121","3,389","4,161","5,782","6,404","9,049","20,605"
      Alcatra,"0,598","0,157","0,198","0,745","0,508","1,061","1,130"
      Carne moída,"0,295","0,060","0,130","0,372","0,336","0,217","0,583"
      Carne não especificada,"2,788","2,009","2,413","2,975","2,950","4,153","2,605"
      Chã de dentro,"0,613","0,312","0,573","0,412","0,773","1,203","1,081"
      Contrafilé,"1,945","0,238","0,329","0,609","0,668","1,541","13,162"
      Filé-mignon,"0,111","0,095",-,"0,014","0,162","0,086","0,551"
      Lagarto comum,"0,420","0,270","0,255","0,416","0,681","0,373","0,502"
      Lagarto redondo,-,-,-,-,-,-,-
      Patinho,"0,351","0,248","0,263","0,237","0,326","0,414","0,989"
   Carnes bovinas de segunda,"6,292","5,815","6,806","6,584","6,407","7,875","3,954"
      Acém,"0,672","0,629","0,706","0,534","0,596","1,808","0,487"
      Capa de filé,"0,311","0,226","0,059","0,404","0,347","0,562","0,274"
      Carne moída,"0,445","0,586","0,684","0,443","0,384","0,258","0,126"
      Carne não especificada,"1,360","1,246","1,729","1,582","1,085","1,575","0,506"
      Costela,"1,748","1,671","1,615","1,963","2,168","0,992","1,206"
      Músculo,"0,622","0,647","0,868","0,410","0,483","1,340","0,643"
      Pá,"0,352","0,105","0,402","0,485","0,315","0,256","0,290"
      Peito,"0,178","0,153","0,132","0,212","0,167","0,257","0,140"
      Outras,"0,604","0,553","0,611","0,552","0,862","0,827","0,284"
   Carnes bovinas outras,"3,830","3,082","4,394","3,726","4,374","3,889","3,412"
      Carne de hambúrguer,"0,041","0,026","0,006","0,046","0,050","0,048","0,081"
      Carne de sol,"0,154","0,179","0,202","0,052","0,146","0,458","0,192"
      Carne moída não especificada,"0,568","0,569","0,968","0,506","0,476","0,316","0,469"
      Carne não especificada,"1,670","1,488","1,796","1,417","2,275","1,980","1,409"
      Carne-seca,"0,072","0,004","0,079","0,055","0,128","0,039","0,138"
      Mocotó,"0,070","0,045","0,072","0,106","0,091",-,-
      Outras,"1,254","0,771","1,271","1,544","1,208","1,047","1,123"
   Carnes suínas com osso e sem osso,"3,163","2,615","2,849","3,390","3,215","3,484","3,320"
      Carré,"0,308","0,218","0,341","0,317","0,331","0,203","0,377"
      Costela,"0,455","0,151","0,408","0,339","0,498","0,599","1,138"
      Lombo,"0,204","0,223","0,025","0,287","0,123","0,095","0,383"
      Pernil,"0,401","0,176","0,249","0,438","0,429","1,112","0,284"
      Porco eviscerado,"0,325","0,059","0,584","0,429","0,229","0,029","0,282"
      Outras,"1,470","1,789","1,242","1,580","1,604","1,445","0,856"
   Carnes suínas outras,"1,859","1,154","1,310","1,974","1,886","2,848","2,533"
      Carne salgada não especificada,"0,021",-,"0,007","0,008","0,009","0,111","0,075"
      Costela de porco salgada,"0,001",-,-,-,-,-,"0,006"
      Mortadela,"0,419","0,317","0,401","0,402","0,354","0,492","0,685"
      Paio,"0,002",-,"0,010",-,-,-,"0,005"
      Pé de porco salgado,"0,004",-,"0,016","0,003","0,000",-,"0,006"
      Presunto,"0,449","0,234","0,291","0,429","0,571","0,665","0,703"
      Salame,"0,096","0,047","0,059","0,122","0,061","0,151","0,145"
      Salsicha comum,"0,439","0,370","0,280","0,492","0,405","0,859","0,370"
      Toucinho fresco,"0,120","0,082","0,055","0,175","0,114","0,069","0,135"
      Toucinho defumado,"0,197","0,097","0,085","0,198","0,220","0,450","0,293"
      Outras,"0,110","0,008","0,106","0,145","0,150","0,052","0,112"
   Carnes de outros animais,"2,238","1,947","2,103","2,276","2,035","2,846","2,605"
      Carne de cabrito,-,-,-,-,-,-,-
      Carne de carneiro,"0,037",-,-,"0,002","0,008","0,155","0,219"
      Linguiça,"2,056","1,746","1,894","2,195","1,878","2,685","2,110"
      Outras,"0,145","0,201","0,209","0,080","0,149","0,006","0,276"
Vísceras,"0,511","0,234","0,833","0,629","0,403","0,387","0,251"
   Vísceras bovinas,"0,423","0,208","0,707","0,511","0,273","0,387","0,239"
      Bucho,"0,054","0,070","0,040","0,067","0,062",-,"0,039"
      Fígado,"0,291","0,101","0,454","0,387","0,157","0,272","0,200"
      Língua,"0,023","0,016","0,080","0,007","0,029",-,-
      Outras,"0,054","0,021","0,133","0,049","0,026","0,115",-
   Vísceras suínas,"0,086","0,026","0,126","0,118","0,114",-,"0,012"
   Outras vísceras,"0,003",-,-,-,"0,016",-,-
Pescados,"1,450","0,700","1,333","1,335","1,400","1,565","2,969"
   Pescados de água salgada,"0,472","0,223","0,241","0,316","0,492","0,553","1,562"
      Anchova fresca,"0,001",-,-,"0,002",-,-,-
      Bacalhau,"0,024",-,-,"0,001",-,"0,243","0,055"
      Bagre fresco,"0,002",-,-,"0,007",-,-,-
      Cação fresco,-,-,-,-,-,-,-
      Camarão fresco,"0,040",-,-,"0,006","0,010","0,032","0,311"
      Corvina fresca,"0,014",-,-,"0,036",-,-,"0,017"
      Merluza em filé congelado,"0,040",-,-,"0,079","0,058",-,"0,027"
      Merluza em filé fresco,"0,004",-,-,-,"0,012",-,"0,022"
      Parati fresco,-,-,-,-,-,-,-
      Pescada em filé congelado,"0,004",-,"0,007","0,001",-,"0,044",-
      Pescada em filé fresco,-,-,-,-,-,-,-
      Pescada fresca,"0,004","0,008",-,"0,003",-,-,"0,019"
      Pescadinha fresca,-,-,-,-,-,-,-
      Sardinha em conserva,"0,074","0,039","0,100","0,056","0,075","0,055","0,149"
      Sardinha fresca,"0,026",-,"0,028","0,015","0,029","0,024","0,086"
      Tainha fresca,-,-,-,-,-,-,-
      Outros pescados em filé congelado,"0,038",-,"0,014","0,009","0,041","0,104","0,171"
      Outros pescados em filé fresco,"0,050","0,030","0,008","0,032","0,127","0,052","0,078"
      Outros pescados frescos,"0,140","0,145","0,084","0,070","0,135",-,"0,545"
      Outros pescados salgados,"0,010",-,-,-,"0,005",-,"0,083"
   Pescados de água doce,"0,705","0,391","0,594","0,771","0,591","0,563","1,330"
      Acará fresca,-,-,-,-,-,-,-
      Acari fresco,"0,002",-,-,"0,005",-,-,-
      Anujá fresco,"0,002","0,007",-,"0,002",-,-,-
      Curimatã fresco,"0,027","0,019",-,"0,068",-,-,-
      Dourada fresca,"0,008","0,035",-,-,-,-,"0,026"
      Jaraqui fresco,-,-,-,-,-,-,-
      Lambari fresco,-,-,-,-,-,-,-
      Mapará fresco,"0,007",-,-,"0,006","0,030",-,-
      Piau fresco,"0,021","0,047","0,055","0,014",-,-,-
      Surubim fresco,"0,100",-,"0,036","0,068","0,165","0,070","0,353"
      Tambaqui fresco,"0,140","0,056","0,092","0,143","0,188","0,058","0,293"
      Tilápia fresca,"0,068","0,036","0,069","0,085","0,082","0,016","0,062"
      Traíra fresca,"0,033","0,005",-,"0,091",-,-,-
      Tucunaré fresco,"0,006",-,-,"0,014","0,004",-,-
      Outros pescados em filé congelado,"0,071",-,"0,030","0,052","0,015","0,154","0,320"
      Outros pescados em filé fresco,"0,012","0,004",-,"0,006","0,006","0,034","0,055"
      Outros pescados frescos,"0,205","0,148","0,312","0,217","0,101","0,231","0,220"
      Outros pescados salgados,"0,005","0,035",-,-,-,-,-
   Pescados não especificados,"0,273","0,086","0,498","0,248","0,316","0,448","0,078"
      Peixe em filé congelado,"0,008",-,-,"0,022",-,-,-
      Peixe em filé fresco,-,-,-,-,-,-,-
      Peixe fresco,"0,265","0,086","0,498","0,225","0,316","0,448","0,078"
      Peixe salgado,-,-,-,-,-,-,-
Aves e ovos,"14,563","10,437","12,208","13,902","14,912","14,401","25,189"
   Aves,"11,403","8,200","9,654","10,766","11,581","10,263","20,751"
      Asa de frango,"0,782","0,910","0,973","0,577","0,645","0,822","1,177"
      Carne de frango não especificada,"0,582","0,371","0,325","0,737","0,756","0,575","0,480"
      Coxa de frango,"1,601","1,069","0,741","1,580","2,064","2,281","2,497"
      Dorso de frango,"0,018","0,024","0,037","0,003","0,049",-,-
      Frango abatido (inteiro),"5,490","4,963","5,890","6,411","5,498","4,264","3,375"
      Frango vivo,"0,059","0,038","0,112","0,036","0,084","0,111","0,006"
      Miúdos de frango,"0,093","0,024","0,129","0,130","0,036","0,037","0,132"
      Peito de frango,"1,537","0,695","1,304","1,172","2,232","1,820","2,912"
      Outras carnes de frango,"1,148","0,103","0,083","0,073","0,061","0,179","9,913"
      Pato  inteiro ou em cortes,"0,009","0,005",-,"0,003","0,045",-,-
      Peru abatido,"0,024",-,"0,030","0,020","0,044","0,067",-
      Peru em cortes,"0,057",-,"0,008","0,024","0,069","0,106","0,259"
      Outras,"0,004",-,"0,022","0,001",-,-,-
   Ovos,"3,160","2,237","2,554","3,135","3,331","4,138","4,438"
