"Alimento","Região Nordeste",Maranhão,Piauí,Ceará,"Rio Grande do Norte",Paraíba,"Pernambuco",Alagoas,Sergipe,Bahia
      Maçã,"1,724","1,061","1,675","1,729","1,822","1,607","1,859","0,888","2,214","2,081"
      Morango,"0,052","0,004","0,037","0,041","0,010","0,049","0,071","0,019","0,145","0,075"
      Pera,"0,168","0,097","0,084","0,124","0,305","0,244","0,195","0,052","0,367","0,173"
      Pêssego,"0,006",-,-,"0,002","0,008","0,008",-,-,"0,007","0,015"
      Uva,"0,771","0,521","0,940","0,534","0,958","0,819","0,788","0,630","1,823","0,801"
      Outras,"0,030","0,007","0,018","0,018","0,061","0,007","0,043","0,024","0,009","0,048"
"Cocos, castanhas e nozes","0,381","1,223","0,221","0,114","0,213","0,163","0,360","0,237","0,358","0,331"
   Cocos,"0,360","1,221","0,210","0,088","0,204","0,118","0,330","0,222","0,303","0,314"
      Açaí (emulsão),"0,166","1,035","0,001","0,034","0,083","0,025","0,035","0,192","0,108","0,015"
      Coco-da-baía,"0,165","0,147","0,176","0,041","0,083","0,074","0,260","0,021","0,165","0,262"
      Outros,"0,030","0,039","0,033","0,013","0,038","0,019","0,034","0,008","0,030","0,037"
   Castanhas e nozes,"0,021","0,002","0,011","0,025","0,009","0,045","0,029","0,015","0,054","0,017"
"Farinhas, féculas e massas","15,305","11,807","16,156","12,259","19,998","14,261","17,754","14,566","16,556","16,227"
   Farinhas,"4,906","4,887","2,752","2,994","4,237","2,247","3,730","3,300","6,006","8,375"
      Farinha de mandioca,"3,868","4,373","2,160","2,202","2,762","1,417","2,578","2,397","5,314","6,873"
      Farinha de rosca,"0,025","0,008","0,018","0,017","0,026","0,025","0,019","0,030","0,007","0,044"
      Farinha de trigo,"0,815","0,307","0,495","0,527","1,022","0,616","0,968","0,748","0,467","1,277"
      Farinha vitaminada,"0,089","0,094","0,057","0,049","0,179","0,109","0,093","0,064","0,092","0,096"
      Outras,"0,110","0,105","0,021","0,198","0,247","0,080","0,073","0,061","0,126","0,085"
   Féculas,"6,512","5,167","11,292","4,793","9,995","6,957","8,884","7,633","7,618","4,276"
      Amido de milho,"0,066","0,038","0,072","0,052","0,057","0,093","0,074","0,105","0,057","0,068"
      Creme de arroz,"0,262","0,214","0,382","0,241","0,263","0,130","0,312","0,158","0,247","0,300"
      Creme de milho,"0,126","0,074","0,020","0,157","0,314","0,273","0,070","0,050","0,054","0,136"
      Fécula de mandioca,"1,447","1,518","3,740","2,259","2,442","1,011","1,085","0,304","0,670","0,899"
      Flocos de aveia,"0,066","0,032","0,036","0,043","0,144","0,100","0,080","0,054","0,056","0,070"
      Flocos de milho,"1,811","1,481","1,561","0,541","4,450","2,596","2,992","1,755","3,195","1,015"
      Flocos de outros cereais,"0,188","0,555","0,406","0,099","0,114","0,198","0,210","0,080","0,107","0,059"
      Fubá de milho,"2,541","1,256","5,075","1,376","2,193","2,548","4,062","5,128","3,233","1,727"
      Outras,"0,006",-,-,"0,025","0,018","0,006",-,-,-,"0,002"
   Massas,"3,886","1,753","2,112","4,472","5,766","5,057","5,140","3,633","2,931","3,577"
      Macarrão com ovos,"0,370","0,089","0,160","0,193","0,306","0,187","0,529","0,082","0,132","0,721"
      Macarrão não especificado,"2,243","1,232","1,206","3,275","3,785","2,946","2,996","2,378","2,112","1,276"
      Macarrão sem ovos,"1,026","0,388","0,559","0,762","1,364","1,697","1,292","1,025","0,485","1,246"
      Massa de lasanha,"0,098","0,016","0,084","0,086","0,094","0,086","0,138","0,073","0,125","0,128"
      Massa de pastel,"0,043","0,009","0,016","0,049","0,052","0,022","0,043","0,035","0,030","0,069"
      Massa de pizza,"0,072","0,018","0,069","0,075","0,123","0,085","0,102","0,040","0,036","0,074"
