"Alimento","Região Centro Oeste","Mato Grosso do Sul",Mato Grosso,Goiás,Distrito Federal
      Outras,"0,110","0,130","0,094","0,115","0,097"
   Carnes de outros animais,"2,238","2,557","2,297","2,206","1,959"
      Carne de cabrito,-,-,-,-,-
      Carne de carneiro,"0,037","0,041","0,032","0,053",-
      Linguiça,"2,056","2,436","2,165","1,954","1,826"
      Outras,"0,145","0,080","0,099","0,198","0,133"
Vísceras,"0,511","0,548","0,729","0,464","0,340"
   Vísceras bovinas,"0,423","0,481","0,721","0,306","0,302"
      Bucho,"0,054","0,059","0,109","0,043","0,014"
      Fígado,"0,291","0,280","0,460","0,238","0,233"
      Língua,"0,023","0,098","0,029",-,-
      Outras,"0,054","0,044","0,123","0,025","0,055"
   Vísceras suínas,"0,086","0,050","0,008","0,158","0,038"
   Outras vísceras,"0,003","0,016",-,-,-
Pescados,"1,450","1,027","1,323","1,241","2,461"
   Pescados de água salgada,"0,472","0,243","0,208","0,310","1,357"
      Anchova fresca,"0,001",-,-,"0,002",-
      Bacalhau,"0,024","0,024","0,001","0,040","0,010"
      Bagre fresco,"0,002",-,"0,011",-,-
      Cação fresco,-,-,-,-,-
      Camarão fresco,"0,040","0,010",-,"0,018","0,163"
      Corvina fresca,"0,014",-,-,"0,009","0,056"
      Merluza em filé congelado,"0,040","0,020",-,"0,077","0,020"
      Merluza em filé fresco,"0,004",-,-,-,"0,024"
      Parati fresco,-,-,-,-,-
      Pescada em filé congelado,"0,004","0,007",-,"0,001","0,017"
      Pescada em filé fresco,-,-,-,-,-
      Pescada fresca,"0,004","0,013",-,-,"0,011"
      Pescadinha fresca,-,-,-,-,-
      Sardinha em conserva,"0,074","0,066","0,095","0,040","0,137"
      Sardinha fresca,"0,026","0,042","0,035","0,014","0,026"
      Tainha fresca,-,-,-,-,-
      Outros pescados em filé congelado,"0,038","0,018","0,009","0,031","0,106"
      Outros pescados em filé fresco,"0,050","0,021","0,014","0,019","0,192"
      Outros pescados frescos,"0,140","0,021","0,043","0,060","0,543"
      Outros pescados salgados,"0,010",-,-,-,"0,052"
   Pescados de água doce,"0,705","0,656","0,807","0,552","0,986"
      Acará fresca,-,-,-,-,-
      Acari fresco,"0,002",-,-,"0,004",-
      Anujá fresco,"0,002",-,-,"0,004",-
      Curimatã fresco,"0,027","0,044","0,046",-,"0,050"
      Dourada fresca,"0,008",-,-,"0,011","0,015"
      Jaraqui fresco,-,-,-,-,-
      Lambari fresco,-,-,-,-,-
      Mapará fresco,"0,007",-,-,"0,011","0,012"
      Piau fresco,"0,021",-,"0,097",-,-
      Surubim fresco,"0,100","0,132","0,028","0,134","0,076"
      Tambaqui fresco,"0,140","0,113","0,147","0,099","0,252"
      Tilápia fresca,"0,068","0,092","0,003","0,016","0,239"
      Traíra fresca,"0,033",-,"0,001","0,075",-
      Tucunaré fresco,"0,006",-,"0,023",-,"0,004"
      Outros pescados em filé congelado,"0,071","0,122","0,028","0,045","0,135"
      Outros pescados em filé fresco,"0,012","0,018",-,-,"0,048"
      Outros pescados frescos,"0,205","0,135","0,433","0,152","0,129"
      Outros pescados salgados,"0,005",-,-,-,"0,026"
   Pescados não especificados,"0,273","0,128","0,308","0,379","0,118"
