"Alimento","Região Sul",Paraná,Santa Catarina,Rio Grande do sul
      Camarão fresco,"0,035","0,025","0,023","0,051"
      Corvina fresca,"0,008",-,-,"0,021"
      Merluza em filé congelado,"0,001",-,-,"0,003"
      Merluza em filé fresco,-,-,-,-
      Parati fresco,-,-,-,-
      Pescada em filé congelado,"0,016",-,-,"0,041"
      Pescada em filé fresco,"0,014",-,"0,008","0,033"
      Pescada fresca,"0,004","0,006","0,010",-
      Pescadinha fresca,"0,000",-,"0,001",-
      Sardinha em conserva,"0,116","0,147","0,081","0,108"
      Sardinha fresca,"0,056","0,045","0,041","0,076"
      Tainha fresca,"0,031",-,"0,094","0,022"
      Outros pescados em filé congelado,"0,058","0,045","0,086","0,054"
      Outros pescados em filé fresco,"0,114","0,119","0,101","0,118"
      Outros pescados frescos,"0,105","0,057","0,164","0,117"
      Outros pescados salgados,"0,008","0,011","0,017",-
   Pescados de água doce,"0,290","0,274","0,232","0,342"
      Acará fresca,-,-,-,-
      Acari fresco,"0,009","0,006","0,009","0,011"
      Anujá fresco,"0,010",-,-,"0,027"
      Curimatã fresco,"0,005","0,013",-,-
      Dourada fresca,"0,001",-,"0,002",-
      Jaraqui fresco,-,-,-,-
      Lambari fresco,-,-,-,-
      Mapará fresco,-,-,-,-
      Piau fresco,-,-,-,-
      Surubim fresco,-,-,-,-
      Tambaqui fresco,"0,010","0,027",-,-
      Tilápia fresca,"0,096","0,063","0,138","0,104"
      Traíra fresca,"0,007",-,-,"0,020"
      Tucunaré fresco,-,-,-,-
      Outros pescados em filé congelado,"0,045","0,068","0,001","0,048"
      Outros pescados em filé fresco,"0,034","0,026","0,052","0,032"
      Outros pescados frescos,"0,072","0,071","0,030","0,100"
      Outros pescados salgados,-,-,-,-
   Pescados não especificados,"0,153","0,120","0,320","0,082"
      Peixe em filé congelado,-,-,-,-
      Peixe em filé fresco,"0,007",-,"0,011","0,012"
      Peixe fresco,"0,133","0,120","0,309","0,037"
      Peixe salgado,"0,012",-,-,"0,033"
Aves e ovos,"16,924","12,885","18,467","20,006"
   Aves,"12,849","9,846","13,961","15,163"
      Asa de frango,"0,783","0,750","0,969","0,700"
      Carne de frango não especificada,"0,654","0,705","0,740","0,550"
      Coxa de frango,"5,126","3,139","4,515","7,494"
      Dorso de frango,"0,014","0,004","0,034","0,012"
      Frango abatido (inteiro),"2,988","2,837","3,309","2,939"
      Frango vivo,"0,049","0,091","0,010","0,031"
      Miúdos de frango,"0,379","0,165","0,399","0,580"
      Peito de frango,"2,307","1,754","3,060","2,393"
      Outras carnes de frango,"0,333","0,223","0,638","0,254"
      Pato  inteiro ou em cortes,"0,052","0,009","0,049","0,096"
      Peru abatido,"0,052","0,038","0,142","0,009"
      Peru em cortes,"0,054","0,065","0,026","0,060"
      Outras,"0,059","0,066","0,070","0,045"
   Ovos,"4,075","3,039","4,506","4,843"
      Ovo de galinha,"4,030","3,014","4,445","4,789"
      Outros,"0,044","0,025","0,061","0,054"
Laticínios,"48,271","38,111","57,100","52,946"
   Leite e creme de leite,"41,399","32,160","49,102","45,852"
      Creme de leite,"0,729","0,697","0,870","0,674"
      Leite condensado,"1,045","0,897","1,082","1,170"
      Leite de vaca fresco,"4,423","1,790","7,037","5,431"
      Leite de vaca pasteurizado,"33,710","27,583","38,401","36,923"
      Leite em pó desengordurado,"0,010","0,007","0,006","0,015"
      Leite em pó integral,"0,368","0,502","0,387","0,221"
      Leite em pó não especificado,"0,053","0,038","0,122","0,025"
      Outros,"1,062","0,647","1,198","1,392"
   Queijos e requeijão,"2,606","2,065","2,973","2,918"
      Queijo minas,"0,114","0,167","0,094","0,072"
      Queijo mozzarella,"1,073","1,068","1,031","1,105"
      Queijo não especificado,"0,113","0,139","0,173","0,050"
      Queijo parmezão,"0,061","0,061","0,039","0,075"
      Queijo prato,"0,808","0,261","1,174","1,128"
      Outros queijos,"0,106","0,074","0,148","0,111"
      Requeijão,"0,330","0,294","0,314","0,377"
   Outros laticínios,"4,267","3,885","5,025","4,176"
      Iogurte,"2,209","1,845","2,365","2,477"
      Leite fermentado,"1,563","1,676","1,849","1,273"
      Manteiga,"0,162","0,179","0,167","0,142"
      Outros,"0,332","0,185","0,644","0,285"
"Açúcares, doces e produtos de confeitaria","15,806","14,968","19,629","14,265"
   Açúcares,"11,030","10,520","14,519","9,372"
      Açúcar cristal,"4,782","5,808","2,593","5,117"
      Açúcar demerara,"0,207","0,166","0,303","0,188"
      Açúcar não especificado,"0,499","0,591","0,231","0,573"
      Açúcar refinado,"5,505","3,912","11,368","3,451"
      Outros,"0,037","0,041","0,023","0,042"
   Doces e produtos de confeitaria,"3,668","3,341","3,788","3,921"
      Bombom,"0,327","0,354","0,358","0,280"
      Chocolate em tablete,"0,419","0,375","0,441","0,450"
      Doce a base de leite,"0,260","0,200","0,260","0,321"
      Doce de fruta cristalizado,"0,007","0,004","0,004","0,012"
      Doce de fruta em calda,"0,100","0,090","0,136","0,088"
      Doce de fruta em pasta,"0,322","0,270","0,349","0,357"
      Rapadura,"0,042","0,015","0,007","0,092"
      Sorvete,"1,266","1,115","1,182","1,470"
      Outros,"0,924","0,918","1,051","0,851"
"   Outros açúcares, doces e produtos de confeitaria","1,107","1,108","1,322","0,973"
      Chocolate em pó,"0,822","0,827","1,006","0,704"
      Gelatina,"0,061","0,071","0,059","0,052"
      Mel de abelha,"0,078","0,078","0,070","0,083"
      Polpa de fruta,"0,061","0,114","0,037","0,024"
      Outros,"0,084","0,018","0,149","0,110"
Sais e condimentos,"6,492","6,348","6,693","6,511"
   Sais,"2,143","2,058","2,450","2,038"
      Sal grosso,"0,362","0,158","0,409","0,536"
      Sal refinado,"1,736","1,850","1,985","1,468"
      Outros,"0,046","0,050","0,057","0,034"
   Condimentos,"4,349","4,290","4,243","4,473"
      Caldo de carne em tablete,"0,032","0,037","0,016","0,036"
      Caldo de galinha em tablete,"0,071","0,049","0,076","0,090"
      Outros caldos em tablete,"0,024","0,018","0,038","0,022"
      Colorau,"0,024","0,024","0,055","0,006"
      Fermento,"0,141","0,126","0,205","0,115"
      Leite de coco,"0,047","0,043","0,030","0,062"
      Maionese,"0,840","0,741","1,026","0,824"
      Massa de tomate,"0,733","0,677","0,604","0,868"
      Molho de tomate,"1,077","1,311","0,716","1,068"
      Tempero misto,"0,150","0,159","0,163","0,132"
      Vinagre de álcool,"0,478","0,330","0,547","0,582"
      Vinagre de vinho,"0,126","0,055","0,182","0,162"
      Vinagre não especificado,"0,231","0,358","0,257","0,089"
      Outros,"0,376","0,363","0,329","0,418"
Óleos e gorduras,"7,735","7,431","7,763","8,021"
   Óleos,"6,135","6,052","5,780","6,439"
      Azeite de oliva,"0,258","0,264","0,296","0,228"
      Óleo de girassol,"0,237","0,148","0,366","0,246"
      Óleo de canola,"0,080","0,020","0,011","0,183"
      Óleo de milho,"0,222","0,150","0,141","0,345"
      Óleo de soja,"5,102","5,240","4,801","5,150"
      Óleo não especificado,"0,082","0,199","0,007","0,011"
      Outros,"0,155","0,032","0,158","0,275"
   Gorduras,"1,599","1,379","1,983","1,582"
      Banha de porco,"0,317","0,203","0,586","0,262"
      Margarina vegetal,"1,278","1,172","1,389","1,316"
      Outras,"0,005","0,004","0,008","0,004"
Bebidas e infusões,"55,195","48,149","61,221","58,497"
   Bebidas alcoólicas,"11,909","10,965","13,478","11,878"
      Aguardente de cana,"0,237","0,185","0,311","0,242"
      Outras aguardentes,"0,004",-,"0,010","0,005"
      Cerveja,"10,372","9,742","11,787","10,123"
      Vinho,"0,926","0,638","1,013","1,160"
      Outras,"0,370","0,400","0,355","0,349"
   Bebidas não alcoólicas,"38,330","32,744","42,612","41,255"
      Água mineral,"13,232","10,103","20,164","12,051"
      Refrigerante de cola,"12,017","9,498","11,421","14,909"
      Refrigerante de guaraná,"4,650","4,238","3,073","6,044"
      Refrigerante de laranja,"1,439","1,428","1,324","1,521"
      Refrigerante de limão,"1,019","0,771","0,799","1,402"
      Refrigerante de maçã,-,-,-,-
      Refrigerante de uva,"0,331","0,166","0,189","0,585"
      Bebida energética,"0,286","0,280","0,431","0,201"
      Refrigerante não especificado,"1,337","1,633","1,258","1,091"
      Outros refrigerantes,"0,529","0,970","0,227","0,277"
      Suco de fruta em pó,"0,453","0,489","0,429","0,430"
      Suco de fruta envasado,"2,323","2,495","2,297","2,166"
      Outras,"0,714","0,674","1,000","0,576"
   Cafés,"2,623","3,016","3,110","1,927"
      Café moído,"2,300","2,832","2,732","1,499"
      Café solúvel,"0,226","0,063","0,271","0,362"
      Outros,"0,097","0,121","0,107","0,067"
   Chás,"2,333","1,424","2,021","3,436"
      Chá-mate,"2,234","1,370","1,794","3,373"
      Outros,"0,098","0,054","0,228","0,063"
Alimentos preparados e misturas industriais,"4,617","3,869","5,754","4,658"
   Alimentos preparados,"4,293","3,628","5,341","4,305"
      Alimento congelado,"0,373","0,215","0,583","0,400"
      Batata frita,"0,284","0,182","0,466","0,273"
      Carne-assada,"0,203","0,243","0,171","0,183"
      Frango assado ou defumado,"0,396","0,411","0,607","0,249"
      Frango empanado,"0,139","0,091","0,199","0,150"
      Massa,"0,674","0,719","0,669","0,632"
      Refeição,"0,467","0,391","0,670","0,418"
      Salgadinho,"0,341","0,311","0,335","0,374"
      Sanduíche,"0,113","0,064","0,131","0,150"
      Outros,"1,303","1,000","1,509","1,477"
   Misturas industriais,"0,325","0,241","0,413","0,353"
      Mistura para bolo,"0,279","0,229","0,271","0,334"
      Outras,"0,045","0,012","0,141","0,019"
Outros produtos,"0,016","0,020","0,024","0,007"
