"Alimento","Região Sudeste",Minas Gerais,Espírito Santo,Rio de Janeiro,São Paulo
      Carne moída não especificada,"0,461","0,580","0,160","0,567","0,392"
      Carne não especificada,"0,938","1,856","0,693","0,684","0,630"
      Carne-seca,"0,170","0,011","0,193","0,413","0,149"
      Mocotó,"0,055","0,017","0,011","0,090","0,064"
      Outras,"0,589","0,833","0,485","0,281","0,602"
   Carnes suínas com osso e sem osso,"2,537","4,384","2,538","1,620","2,030"
      Carré,"0,581","0,196","0,459","0,736","0,712"
      Costela,"0,462","0,711","0,305","0,188","0,465"
      Lombo,"0,236","0,519","0,054","0,199","0,135"
      Pernil,"0,544","1,067","0,430","0,284","0,411"
      Porco eviscerado,"0,050","0,101","0,496",-,"0,007"
      Outras,"0,663","1,789","0,794","0,212","0,301"
   Carnes suínas outras,"2,716","2,655","2,155","2,453","2,892"
      Carne salgada não especificada,"0,043","0,031","0,045","0,022","0,056"
      Costela de porco salgada,"0,004",-,-,"0,008","0,005"
      Mortadela,"0,511","0,443","0,424","0,477","0,564"
      Paio,"0,013","0,011","0,013","0,008","0,016"
      Pé de porco salgado,"0,039","0,036","0,004","0,010","0,054"
      Presunto,"0,602","0,543","0,375","0,529","0,677"
      Salame,"0,090","0,091","0,050","0,068","0,100"
      Salsicha comum,"0,873","0,733","0,700","0,928","0,932"
      Toucinho fresco,"0,157","0,349","0,181","0,071","0,098"
      Toucinho defumado,"0,226","0,256","0,275","0,172","0,229"
      Outras,"0,158","0,161","0,088","0,160","0,162"
   Carnes de outros animais,"2,868","2,576","2,838","2,082","3,303"
      Carne de cabrito,"0,002",-,-,"0,009",-
      Carne de carneiro,"0,001",-,-,-,"0,001"
      Linguiça,"2,737","2,398","2,777","1,955","3,186"
      Outras,"0,128","0,178","0,061","0,118","0,115"
Vísceras,"0,424","0,529","0,290","0,466","0,372"
   Vísceras bovinas,"0,343","0,372","0,284","0,446","0,296"
      Bucho,"0,039","0,018","0,038","0,039","0,049"
      Fígado,"0,255","0,251","0,209","0,382","0,213"
      Língua,"0,020","0,024","0,006","0,014","0,021"
      Outras,"0,030","0,079","0,031","0,011","0,014"
   Vísceras suínas,"0,073","0,157","0,004","0,021","0,060"
   Outras vísceras,"0,008",-,"0,003",-,"0,016"
Pescados,"1,367","0,926","1,127","1,743","1,449"
   Pescados de água salgada,"1,028","0,390","0,762","1,558","1,146"
      Anchova fresca,-,-,-,-,-
      Bacalhau,"0,079","0,058","0,058","0,159","0,060"
      Bagre fresco,-,-,-,-,-
      Cação fresco,"0,036","0,004","0,007","0,008","0,064"
      Camarão fresco,"0,032",-,"0,030","0,074","0,031"
      Corvina fresca,"0,063","0,007","0,095","0,237","0,020"
      Merluza em filé congelado,"0,026","0,020","0,009","0,019","0,033"
      Merluza em filé fresco,"0,031","0,013",-,"0,008","0,051"
      Parati fresco,-,-,-,-,-
      Pescada em filé congelado,"0,019",-,"0,006","0,033","0,024"
      Pescada em filé fresco,"0,004",-,-,-,"0,008"
      Pescada fresca,"0,033","0,004","0,022",-,"0,060"
      Pescadinha fresca,"0,003",-,"0,012",-,"0,004"
      Sardinha em conserva,"0,093","0,087","0,110","0,085","0,097"
      Sardinha fresca,"0,055","0,031","0,021","0,071","0,063"
      Tainha fresca,"0,014",-,-,-,"0,026"
      Outros pescados em filé congelado,"0,085","0,026","0,023","0,128","0,102"
      Outros pescados em filé fresco,"0,144","0,032","0,026","0,231","0,173"
      Outros pescados frescos,"0,286","0,098","0,330","0,484","0,294"
      Outros pescados salgados,"0,025","0,009","0,013","0,021","0,035"
   Pescados de água doce,"0,182","0,393","0,116","0,022","0,151"
      Acará fresca,"0,000","0,000",-,-,-
      Acari fresco,"0,004","0,016",-,-,-
      Anujá fresco,"0,005","0,010",-,-,"0,006"
      Curimatã fresco,"0,019","0,058",-,-,"0,010"
      Dourada fresca,"0,002","0,004","0,010",-,-
      Jaraqui fresco,-,-,-,-,-
