"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
      Doce de fruta em pasta,"0,322","0,108","0,399","0,297","0,243","0,521","0,629"
      Rapadura,"0,042","0,032","0,036","0,039","0,053","0,016","0,090"
      Sorvete,"1,266","0,852","1,135","0,920","1,382","2,590","1,937"
      Outros,"0,924","0,508","0,679","0,799","1,171","1,266","1,573"
"   Outros açúcares, doces e produtos de confeitaria","1,107","1,009","0,935","1,059","1,282","1,060","1,399"
      Chocolate em pó,"0,822","0,761","0,800","0,787","0,984","0,746","0,767"
      Gelatina,"0,061","0,040","0,048","0,077","0,045","0,059","0,095"
      Mel de abelha,"0,078","0,022","0,040","0,103","0,079","0,045","0,162"
      Polpa de fruta,"0,061","0,030","0,028","0,019","0,061","0,129","0,300"
      Outros,"0,084","0,156","0,019","0,072","0,113","0,081","0,075"
Sais e condimentos,"6,492","4,572","6,712","6,291","6,189","7,733","9,572"
   Sais,"2,143","1,922","2,627","2,243","1,632","2,137","2,549"
      Sal grosso,"0,362","0,074","0,466","0,299","0,334","0,603","0,720"
      Sal refinado,"1,736","1,840","2,135","1,918","1,277","1,414","1,610"
      Outros,"0,046","0,008","0,026","0,027","0,021","0,119","0,219"
   Condimentos,"4,349","2,650","4,085","4,048","4,557","5,596","7,022"
      Caldo de carne em tablete,"0,032","0,018","0,033","0,017","0,017","0,048","0,149"
      Caldo de galinha em tablete,"0,071","0,044","0,077","0,072","0,062","0,098","0,090"
      Outros caldos em tablete,"0,024","0,008","0,006","0,024","0,023","0,029","0,085"
      Colorau,"0,024","0,026","0,027","0,036","0,010","0,017","0,008"
      Fermento,"0,141","0,125","0,159","0,145","0,116","0,121","0,206"
      Leite de coco,"0,047",-,"0,018","0,058","0,033","0,131","0,061"
      Maionese,"0,840","0,328","0,815","0,786","0,909","1,122","1,463"
      Massa de tomate,"0,733","0,762","0,668","0,732","0,691","0,875","0,756"
      Molho de tomate,"1,077","0,616","1,035","0,946","1,237","1,378","1,736"
      Tempero misto,"0,150","0,152","0,176","0,126","0,143","0,136","0,239"
      Vinagre de álcool,"0,478","0,121","0,447","0,542","0,563","0,533","0,506"
      Vinagre de vinho,"0,126","0,068","0,125","0,116","0,054","0,367","0,185"
      Vinagre não especificado,"0,231","0,112","0,192","0,153","0,289","0,267","0,676"
      Outros,"0,376","0,269","0,308","0,294","0,410","0,473","0,860"
Óleos e gorduras,"7,735","7,313","7,974","7,981","7,545","6,797","8,467"
   Óleos,"6,135","5,932","6,226","6,143","6,052","5,535","7,230"
      Azeite de oliva,"0,258","0,086","0,221","0,199","0,308","0,486","0,474"
