"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
      Iogurte,"1,082","0,648","0,972","1,190","1,737","2,514","2,865"
      Leite fermentado,"0,513","0,250","0,383","0,688","1,030","1,010","1,194"
      Manteiga,"0,398","0,207","0,265","0,376","0,749","1,105","2,162"
      Outros,"0,044","0,008","0,041","0,041","0,119","0,209","0,140"
"Açúcares, doces e produtos de confeitaria","14,332","13,181","14,569","14,933","15,157","14,454","19,029"
   Açúcares,"11,814","11,706","12,485","12,323","10,807","9,092","9,522"
      Açúcar cristal,"7,135","6,602","7,357","8,182","7,044","5,197","5,233"
      Açúcar demerara,"0,301","0,093","0,230","0,282","0,824","0,480","1,900"
      Açúcar não especificado,"1,403","1,719","1,720","1,100","0,802","0,487","0,518"
      Açúcar refinado,"2,947","3,275","3,152","2,731","2,096","2,911","1,684"
      Outros,"0,029","0,017","0,026","0,028","0,042","0,017","0,187"
   Doces e produtos de confeitaria,"1,673","1,171","1,434","1,709","2,743","3,118","4,748"
      Bombom,"0,045","0,027","0,037","0,042","0,048","0,234","0,128"
      Chocolate em tablete,"0,077","0,030","0,034","0,089","0,135","0,253","0,498"
      Doce a base de leite,"0,046","0,035","0,032","0,045","0,065","0,128","0,141"
      Doce de fruta cristalizado,"0,011","0,003","0,019","0,010","0,010","0,026","0,041"
      Doce de fruta em calda,"0,008","0,001","0,011","0,001","0,018","0,031","0,066"
      Doce de fruta em pasta,"0,195","0,115","0,210","0,199","0,301","0,272","0,658"
      Rapadura,"0,077","0,081","0,078","0,072","0,098","0,039","0,063"
      Sorvete,"0,361","0,148","0,192","0,437","0,833","1,105","1,452"
      Outros,"0,854","0,732","0,821","0,815","1,235","1,031","1,701"
"   Outros açúcares, doces e produtos de confeitaria","0,844","0,303","0,649","0,900","1,606","2,243","4,758"
      Chocolate em pó,"0,302","0,180","0,264","0,301","0,484","0,751","1,084"
      Gelatina,"0,007","0,003","0,007","0,007","0,012","0,014","0,047"
      Mel de abelha,"0,023","0,005","0,031","0,011","0,042","0,178","0,065"
      Polpa de fruta,"0,504","0,113","0,344","0,573","1,060","1,267","3,490"
      Outros,"0,008","0,002","0,004","0,009","0,009","0,032","0,072"
Sais e condimentos,"3,436","2,788","3,282","3,713","4,202","4,500","6,780"
   Sais,"1,433","1,554","1,373","1,464","1,158","1,078","1,235"
      Sal grosso,"0,153","0,106","0,107","0,229","0,130","0,236","0,376"
      Sal refinado,"1,267","1,447","1,254","1,231","0,980","0,841","0,721"
      Outros,"0,012","0,001","0,012","0,004","0,049","0,001","0,137"
   Condimentos,"2,003","1,235","1,909","2,249","3,044","3,422","5,546"
      Caldo de carne em tablete,"0,017","0,012","0,017","0,016","0,020","0,040","0,035"
      Caldo de galinha em tablete,"0,038","0,025","0,028","0,055","0,049","0,085","0,052"
      Outros caldos em tablete,"0,017","0,006","0,013","0,013","0,034","0,042","0,139"
      Colorau,"0,142","0,133","0,168","0,143","0,122","0,099","0,147"
      Fermento,"0,009","0,003","0,011","0,005","0,013","0,056","0,057"
      Leite de coco,"0,087","0,028","0,053","0,102","0,141","0,160","0,695"
      Maionese,"0,128","0,060","0,095","0,168","0,234","0,330","0,329"
      Massa de tomate,"0,259","0,197","0,245","0,279","0,330","0,482","0,517"
      Molho de tomate,"0,458","0,227","0,466","0,531","0,795","0,846","1,259"
      Tempero misto,"0,095","0,054","0,089","0,120","0,108","0,071","0,418"
      Vinagre de álcool,"0,338","0,240","0,335","0,396","0,513","0,522","0,362"
      Vinagre de vinho,"0,014","0,007","0,009","0,023","0,006","0,024","0,073"
      Vinagre não especificado,"0,140","0,104","0,156","0,129","0,237","0,086","0,357"
      Outros,"0,261","0,138","0,225","0,269","0,441","0,581","1,108"
Óleos e gorduras,"5,304","5,182","5,405","5,364","5,620","4,324","5,768"
   Óleos,"3,982","4,090","4,183","3,759","3,825","2,921","4,744"
      Azeite de oliva,"0,100","0,023","0,052","0,088","0,244","0,241","0,962"
      Óleo de girassol,"0,116","0,067","0,103","0,090","0,252","0,074","0,735"
      Óleo de canola,"0,022","0,022","0,005","0,020","0,050",-,"0,103"
      Óleo de milho,"0,154","0,121","0,128","0,161","0,211","0,327","0,335"
      Óleo de soja,"3,472","3,742","3,802","3,281","2,926","2,159","2,382"
      Óleo não especificado,"0,059","0,072","0,049","0,057","0,038","0,035","0,062"
      Outros,"0,059","0,043","0,043","0,063","0,104","0,085","0,165"
   Gorduras,"1,322","1,092","1,222","1,605","1,795","1,403","1,024"
      Banha de porco,"0,006","0,002","0,004","0,010","0,008","0,046",-
      Margarina vegetal,"1,314","1,091","1,217","1,592","1,782","1,357","1,024"
      Outras,"0,002",-,"0,001","0,003","0,004",-,-
Bebidas e infusões,"67,517","45,932","61,962","76,588","110,648","112,361","126,493"
   Bebidas alcoólicas,"2,698","1,217","1,671","3,591","5,464","6,756","8,484"
      Aguardente de cana,"0,101","0,125","0,070","0,059","0,145","0,104","0,282"
      Outras aguardentes,"0,002","0,000",-,"0,008",-,-,-
      Cerveja,"2,315","0,920","1,343","3,226","4,790","6,196","7,479"
      Vinho,"0,174","0,082","0,143","0,218","0,339","0,336","0,521"
      Outras,"0,106","0,090","0,116","0,081","0,190","0,120","0,202"
   Bebidas não alcoólicas,"62,296","42,314","57,630","70,510","102,812","102,991","114,365"
      Água mineral,"53,506","36,623","49,886","60,193","87,523","88,493","97,307"
      Refrigerante de cola,"3,198","1,982","2,893","3,471","5,851","5,237","8,469"
      Refrigerante de guaraná,"2,269","1,693","2,140","2,793","3,506","3,112","1,390"
      Refrigerante de laranja,"0,766","0,721","0,527","0,826","1,310","0,451","1,412"
      Refrigerante de limão,"0,181","0,123","0,107","0,213","0,372","0,230","0,594"
