"Alimento", "Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
      Salsicha comum,"0,873","0,862","0,971","0,898","0,862","0,583","0,907"
      Toucinho fresco,"0,157","0,119","0,148","0,168","0,156","0,074","0,276"
      Toucinho defumado,"0,226","0,098","0,167","0,215","0,265","0,385","0,369"
      Outras,"0,158","0,150","0,132","0,123","0,116","0,403","0,222"
   Carnes de outros animais,"2,868","1,940","2,382","3,089","3,397","3,408","2,750"
      Carne de cabrito,"0,002",-,-,-,-,-,"0,021"
      Carne de carneiro,"0,001",-,-,"0,002",-,-,-
      Linguiça,"2,737","1,908","2,247","2,926","3,292","3,246","2,566"
      Outras,"0,128","0,032","0,135","0,160","0,105","0,162","0,163"
Vísceras,"0,424","0,403","0,506","0,393","0,462","0,575","0,203"
   Vísceras bovinas,"0,343","0,318","0,471","0,353","0,329","0,347","0,119"
      Bucho,"0,039","0,038","0,031","0,044","0,034","0,063","0,019"
      Fígado,"0,255","0,235","0,368","0,285","0,228","0,201","0,051"
      Língua,"0,020","0,020","0,026","0,004","0,048","0,027",-
      Outras,"0,030","0,025","0,046","0,019","0,019","0,056","0,049"
   Vísceras suínas,"0,073","0,085","0,035","0,039","0,107","0,229","0,040"
   Outras vísceras,"0,008",-,"0,001",-,"0,025",-,"0,044"
Pescados,"1,367","0,870","0,819","1,063","1,641","2,612","2,747"
   Pescados de água salgada,"1,028","0,662","0,449","0,810","1,356","2,046","1,982"
      Anchova fresca,-,-,-,-,-,-,-
      Bacalhau,"0,079","0,013","0,016","0,064","0,119","0,064","0,308"
      Bagre fresco,-,-,-,-,-,-,-
      Cação fresco,"0,036","0,002",-,"0,041","0,035","0,149","0,036"
      Camarão fresco,"0,032","0,005","0,015","0,006","0,103","0,048","0,051"
      Corvina fresca,"0,063","0,009",-,"0,008","0,092","0,478","0,035"
      Merluza em filé congelado,"0,026",-,-,"0,022","0,057","0,018","0,076"
      Merluza em filé fresco,"0,031","0,023","0,003","0,019","0,092","0,031","0,017"
      Parati fresco,-,-,-,-,-,-,-
      Pescada em filé congelado,"0,019","0,018","0,008","0,017","0,033","0,027","0,014"
      Pescada em filé fresco,"0,004",-,-,"0,007",-,"0,002","0,018"
      Pescada fresca,"0,033",-,"0,010","0,032","0,030","0,073","0,106"
      Pescadinha fresca,"0,003","0,016",-,"0,002",-,-,-
      Sardinha em conserva,"0,093","0,067","0,102","0,083","0,119","0,065","0,127"
      Sardinha fresca,"0,055","0,037","0,023","0,087","0,054","0,031","0,036"
      Tainha fresca,"0,014",-,-,"0,021","0,035",-,-
      Outros pescados em filé congelado,"0,085","0,099","0,038","0,038","0,074","0,246","0,222"
      Outros pescados em filé fresco,"0,144","0,028","0,128","0,109","0,143","0,254","0,419"
      Outros pescados frescos,"0,286","0,333","0,106","0,239","0,305","0,539","0,467"
      Outros pescados salgados,"0,025","0,014",-,"0,016","0,063","0,020","0,051"
   Pescados de água doce,"0,182","0,115","0,174","0,123","0,218","0,128","0,546"
      Acará fresca,"0,000","0,001",-,-,-,-,-
      Acari fresco,"0,004",-,"0,013","0,005",-,-,-
      Anujá fresco,"0,005",-,"0,015","0,001","0,013",-,-
      Curimatã fresco,"0,019","0,048","0,041","0,014","0,004",-,-
      Dourada fresca,"0,002",-,-,-,"0,008",-,-
      Jaraqui fresco,-,-,-,-,-,-,-
      Lambari fresco,"0,003","0,005",-,"0,002",-,"0,014",-
      Mapará fresco,"0,001",-,-,"0,002",-,-,-
      Piau fresco,"0,001","0,006",-,-,-,-,-
      Surubim fresco,"0,005",-,"0,018",-,"0,011",-,-
      Tambaqui fresco,"0,000","0,003",-,-,-,-,-
      Tilápia fresca,"0,061","0,021","0,044","0,067","0,110","0,029","0,056"
      Traíra fresca,"0,004","0,004","0,022",-,-,-,-
      Tucunaré fresco,"0,001","0,007",-,-,-,-,-
      Outros pescados em filé congelado,"0,039","0,006","0,005","0,015","0,039","0,072","0,237"
      Outros pescados em filé fresco,"0,026","0,014","0,003","0,012","0,006",-,"0,220"
      Outros pescados frescos,"0,008",-,"0,012","0,004","0,012","0,013","0,020"
      Outros pescados salgados,"0,003",-,-,-,"0,013",-,"0,014"
   Pescados não especificados,"0,156","0,093","0,196","0,130","0,067","0,438","0,219"
      Peixe em filé congelado,"0,004","0,013","0,002","0,003",-,-,"0,005"
      Peixe em filé fresco,"0,001",-,"0,001","0,001",-,-,-
      Peixe fresco,"0,151","0,080","0,193","0,126","0,058","0,438","0,213"
      Peixe salgado,"0,002",-,-,-,"0,010",-,-
Aves e ovos,"12,777","10,433","11,207","12,961","12,773","15,096","16,777"
   Aves,"9,798","8,043","8,481","10,300","9,564","11,097","12,454"
      Asa de frango,"0,849","0,673","0,749","1,070","0,649","1,011","0,679"
      Carne de frango não especificada,"0,491","0,309","0,384","0,610","0,514","0,448","0,497"
      Coxa de frango,"2,056","1,781","1,751","2,108","2,372","2,063","2,191"
      Dorso de frango,"0,014","0,033","0,009","0,023",-,-,-
      Frango abatido (inteiro),"2,455","2,354","2,896","2,607","1,821","1,977","2,998"
      Frango vivo,"0,039","0,062","0,036","0,058","0,020",-,-
      Miúdos de frango,"0,169","0,115","0,110","0,164","0,234","0,179","0,246"
      Peito de frango,"3,263","2,380","2,302","3,304","3,470","4,424","4,874"
      Outras carnes de frango,"0,225","0,261","0,154","0,212","0,208","0,243","0,381"
      Pato  inteiro ou em cortes,"0,002",-,-,"0,005","0,003",-,-
      Peru abatido,"0,059",-,"0,026","0,020","0,037","0,456","0,043"
      Peru em cortes,"0,156","0,032","0,050","0,102","0,228","0,267","0,545"
      Outras,"0,018","0,042","0,016","0,017","0,007","0,030",-
   Ovos,"2,979","2,390","2,726","2,662","3,209","3,998","4,324"
      Ovo de galinha,"2,968","2,385","2,724","2,655","3,194","3,992","4,262"
      Outros,"0,012","0,005","0,002","0,007","0,015","0,006","0,061"
Laticínios,"38,449","31,365","33,628","36,342","39,098","47,210","58,966"
   Leite e creme de leite,"32,226","28,523","30,451","31,196","31,949","35,924","43,427"
      Creme de leite,"0,513","0,211","0,281","0,494","0,537","1,052","0,981"
      Leite condensado,"0,891","0,488","0,600","0,922","1,024","1,224","1,400"
      Leite de vaca fresco,"1,937","3,364","3,247","1,764","1,282","0,667","0,391"
      Leite de vaca pasteurizado,"27,485","23,406","25,611","26,888","27,816","31,086","36,408"
      Leite em pó desengordurado,"0,041","0,008","0,009","0,024","0,025","0,104","0,205"
      Leite em pó integral,"0,422","0,533","0,394","0,349","0,390","0,659","0,438"
      Leite em pó não especificado,"0,077","0,016","0,110","0,065","0,086","0,017","0,207"
      Outros,"0,858","0,497","0,200","0,690","0,788","1,115","3,398"
   Queijos e requeijão,"2,787","0,989","1,346","2,095","3,337","5,840","7,412"
      Queijo minas,"0,742","0,315","0,365","0,473","0,794","1,817","2,191"
      Queijo mozzarella,"1,054","0,346","0,551","0,952","1,396","1,755","2,232"
      Queijo não especificado,"0,087","0,075","0,038","0,057","0,095","0,098","0,305"
